date ,event name ,period,survey median,actual ,prior ,revision 
4/19/2022 8:30,Housing Starts,Mar,1740,1793,1769,1771
4/20/2022 7:00,MBA Mortgage Applications,15-Apr,#N/A,-5,-1.3,#N/A
4/20/2022 10:00,Existing Home Sales,Mar,5.77375,5.77,6.02,5.89
4/21/2022 8:30,Initial Jobless Claims,16-Apr,180,184,185,215
4/21/2022 10:00,Leading Index,Mar,0.25,0.3,0.3,0.3
4/22/2022 9:45,S&P Global US Manufacturing PMI,Apr P,58,#N/A,58.8,#N/A
4/26/2022 8:30,Durable Goods Orders,Mar P,1,0.8,-2.1,-1.7
4/26/2022 10:00,New Home Sales,Mar,767.5,763,772,773
4/26/2022 10:00,Conf. Board Consumer Confidence,Apr,108.2,107.3,107.2,107.6
4/27/2022 7:00,MBA Mortgage Applications,22-Apr,#N/A,-8.3,-5,#N/A
4/27/2022 8:30,Wholesale Inventories MoM,Mar P,1.5,2.3,2.5,2.6
4/28/2022 8:30,Initial Jobless Claims,23-Apr,180,180,184,209
4/28/2022 8:30,GDP Annualized QoQ,1Q A,1,-1.4,6.9,#N/A
4/29/2022 8:30,Personal Income,Mar,0.4,0.5,0.5,0.61718
4/29/2022 8:30,Personal Spending,Mar,0.6,1.1,0.2,0.71108
4/29/2022 9:45,MNI Chicago PMI,Apr,62,56.4,62.9,60.97123182
4/29/2022 10:00,U. of Mich. Sentiment,Apr F,65.7,65.2,65.7,#N/A
5/2/2022 9:45,S&P Global US Manufacturing PMI,Apr F,59.7,59.2,58.8,59.2
5/2/2022 10:00,ISM Manufacturing,Apr,57.6,55.4,57.1,57.3
5/3/2022 10:00,Durable Goods Orders,Mar F,0.8,1.1,0.8,-0.13225
5/3/2022 10:00,Factory Orders,Mar,1.2,2.2,-0.5,0.12451
5/4/2022 7:00,MBA Mortgage Applications,29-Apr,#N/A,2.5,-8.3,#N/A
5/4/2022 8:15,ADP Employment Change,Apr,382.5,247,455,380
5/4/2022 8:30,Trade Balance,Mar,-107.1,-109.8,-89.2,-86.96
5/4/2022 14:00,FOMC Rate Decision (Upper Bound),4-May,1,1,0.5,#N/A
5/5/2022 8:30,Initial Jobless Claims,30-Apr,180,200,180,210
5/6/2022 8:30,Change in Nonfarm Payrolls,Apr,380,428,431,494
5/6/2022 8:30,Unemployment Rate,Apr,3.5,3.6,3.6,#N/A
5/9/2022 10:00,Wholesale Inventories MoM,Mar F,2.3,2.3,2.3,2.46384
5/11/2022 7:00,MBA Mortgage Applications,6-May,#N/A,2,2.5,#N/A
5/11/2022 8:30,CPI MoM,Apr,0.2,0.3,1.2,1.06068
5/11/2022 8:30,CPI YoY,Apr,8.1,8.3,8.5,#N/A
5/12/2022 8:30,PPI Final Demand MoM,Apr,0.5,0.5,1.4,1.59546
5/12/2022 8:30,Initial Jobless Claims,7-May,193,203,200,219
5/13/2022 10:00,U. of Mich. Sentiment,May P,64,59.1,65.2,#N/A
