,S5INFT Index,S5FINL Index,S5HLTH Index,S5COND Index,S5TELS Index,S5INDU Index,S5CONS Index,S5ENRS Index,S5MATR Index,S5UTIL Index,S5RLST Index
4/18/2022,2583.12,617.14,1597.73,1411.012,223.46,842.21,817.81,616.8,559.69,384.59,304.24
4/19/2022,2630.64,625.28,1612.58,1452.086,228.08,857.43,829.84,610.86,564.89,386.94,310.69
4/20/2022,2627.16,629.57,1634.24,1432.403,218.8,862.09,841.99,613.39,568.78,390.02,316.44
4/21/2022,2581.78,619.9,1616.16,1414.749,213.52,853.46,841.1,594.35,559.25,383.81,314.44
4/22/2022,2509.65,601.3,1557.49,1381.158,206.48,832.24,827.69,579.9,538.4,377.35,308.86
4/25/2022,2545.76,602.29,1567.84,1391.876,209.63,832.25,831.07,560.53,536.83,374.63,307.38
4/26/2022,2451.28,586.94,1538.04,1322.469,203,814,818.77,560.78,528.52,370.73,302.81
4/27/2022,2484.58,586.34,1536.24,1321.527,197.69,816.88,820.98,569.08,536.34,369.02,300.82
4/28/2022,2584.89,593.95,1557,1352.182,205.37,826.23,832.69,586.92,544.71,373.1,306.38
4/29/2022,2478,573.7,1518.45,1272.147,198.03,804.56,810.5,572.41,533.97,361.88,291.38
5/2/2022,2516.69,573.82,1508.12,1289.459,202.83,805.92,800.05,580.24,532.21,358.1,283.96
5/3/2022,2521.23,581.06,1513.2,1285.708,203.92,811.56,798.13,596.87,538.18,359.43,287.5
5/4/2022,2609.8,598.6,1546.47,1322.387,211.42,834.85,815.41,621.43,555.64,367.4,290.63
5/5/2022,2481.2,581.15,1516.14,1245.494,202.78,812.62,799.96,612.77,538.35,363.46,283.27
5/6/2022,2461.48,576.98,1511.65,1229.224,200.13,807.37,799.62,630.62,531,366.37,280.38
5/9/2022,2364.58,562.8,1472.8,1176.899,195.25,787.95,800.02,578.26,513.8,363.54,267.43
5/10/2022,2401.85,558.31,1477.69,1173.4,196.89,782.85,793.97,583.66,510.79,359.02,261.32
5/11/2022,2322.64,552.71,1468.22,1131.554,193.92,775.59,791.23,591.63,510.94,361.78,260.89
5/12/2022,2296.19,548.8,1481.8,1140.545,194.91,776.66,790.76,592.21,509.98,357.6,262.83
5/13/2022,2375.29,556.31,1497.4,1187.298,199.81,786.26,802,612.25,517.8,361.51,269.54
5/16/2022,2353.7,551.98,1507.75,1162.175,198.63,784.94,805.64,628.31,516.83,362.69,267.38
